Test matrix size	Serial Time	 GPU Time	GPU Speedup	Error
2000 x 2048	        0.059034	  0.030593	  1.929642	0.000000e+00
4000 x 2048	        0.177329	  0.037351	  4.747680	0.000000e+00
8000 x 2048	        0.399735	  0.048956	  8.165265	0.000000e+00
16000 x 2048	        0.859821	  0.050658	 16.973184	0.000000e+00
32000 x 2048	        1.854941	  0.049074	 37.798508	0.000000e+00
64000 x 2048	        3.880350	  0.084100	 46.139980	0.000000e+00
128000 x 2048	        7.935042	  0.225901	 35.126128	0.000000e+00
256000 x 2048	       16.126370	  0.497636	 32.405936	0.000000e+00
512000 x 2048	       32.403986	  1.014168	 31.951300	0.000000e+00
1024000 x 2048	       66.078796	  1.981835	 33.342230	0.000000e+00
