Test matrix size	Serial Time	 GPU Time	GPU Speedup	Error
2000 x 2048	        0.030382	  0.025902	  1.172951	0.000000e+00
4000 x 2048	        0.092203	  0.022084	  4.175022	0.000000e+00
8000 x 2048	        0.213646	  0.032265	  6.621557	0.000000e+00
16000 x 2048	        0.455082	  0.029438	 15.458944	0.000000e+00
32000 x 2048	        0.937266	  0.051495	 18.201098	0.000000e+00
64000 x 2048	        1.956206	  0.068157	 28.701450	0.000000e+00
128000 x 2048	        4.033017	  0.108712	 37.098015	0.000000e+00
256000 x 2048	        8.265708	  0.249373	 33.146015	0.000000e+00
512000 x 2048	       16.641576	  0.451322	 36.872967	0.000000e+00
1024000 x 2048	       33.451845	  0.866876	 38.588958	0.000000e+00
