Test matrix size	Serial Time	 GPU Time	GPU Speedup	Error
2000 x 512	        0.007385	  0.044443	  0.166165	0.000000e+00
4000 x 512	        0.022466	  0.027535	  0.815884	0.000000e+00
8000 x 512	        0.053693	  0.048983	  1.096140	0.000000e+00
16000 x 512	        0.116113	  0.053484	  2.170995	0.000000e+00
32000 x 512	        0.236427	  0.059172	  3.995566	0.000000e+00
64000 x 512	        0.484003	  0.051252	  9.443578	0.000000e+00
128000 x 512	        0.968210	  0.054470	 17.775092	0.000000e+00
256000 x 512	        2.008429	  0.077334	 25.970870	0.000000e+00
512000 x 512	        4.059752	  0.098508	 41.212238	0.000000e+00
1024000 x 512	        8.191783	  0.177799	 46.073169	1.365545e+02
