Test matrix size	Serial Time	 GPU Time	GPU Speedup	Error
2000 x 1024	        0.028677	  0.018136	  1.581238	0.000000e+00
4000 x 1024	        0.089829	  0.024906	  3.606783	0.000000e+00
8000 x 1024	        0.210002	  0.026156	  8.028864	0.000000e+00
16000 x 1024	        0.462917	  0.048252	  9.593739	0.000000e+00
32000 x 1024	        0.957782	  0.023116	 41.434264	0.000000e+00
64000 x 1024	        2.028360	  0.052561	 38.590397	0.000000e+00
128000 x 1024	        4.104552	  0.114837	 35.742518	0.000000e+00
256000 x 1024	        8.328339	  0.257129	 32.389782	0.000000e+00
512000 x 1024	       16.746018	  0.447217	 37.444914	0.000000e+00
1024000 x 1024	       33.337757	  0.881460	 37.821076	0.000000e+00
