Test matrix size	Serial Time	 GPU Time	GPU Speedup	Error
2000 x 512	        0.067926	  0.047373	  1.433845	0.000000e+00
4000 x 512	        0.194062	  0.049693	  3.905229	0.000000e+00
8000 x 512	        0.449527	  0.065033	  6.912272	0.000000e+00
16000 x 512	        0.955926	  0.063912	 14.957011	0.000000e+00
32000 x 512	        2.011085	  0.074774	 26.895671	0.000000e+00
64000 x 512	        4.215675	  0.093160	 45.251804	0.000000e+00
128000 x 512	        8.534545	  0.171866	 49.658129	1.393549e+02
256000 x 512	       17.127496	  0.171866	 99.656095	1.393055e+02
512000 x 512	       34.265656	  0.171866	199.374240	1.393549e+02
1024000 x 512	       68.590067	  0.171866	399.090348	1.393549e+02
