Test matrix size	Serial Time	 GPU Time	GPU Speedup	Error
2000 x 1024	        0.007379	  0.037413	  0.197228	0.000000e+00
4000 x 1024	        0.022095	  0.043645	  0.506250	0.000000e+00
8000 x 1024	        0.051375	  0.028688	  1.790812	0.000000e+00
16000 x 1024	        0.109783	  0.014983	  7.327288	0.000000e+00
32000 x 1024	        0.227866	  0.025054	  9.095073	0.000000e+00
64000 x 1024	        0.463950	  0.027949	 16.599985	0.000000e+00
128000 x 1024	        0.935933	  0.030115	 31.079049	0.000000e+00
256000 x 1024	        1.933731	  0.060073	 32.189431	0.000000e+00
512000 x 1024	        3.997103	  0.094486	 42.303687	0.000000e+00
1024000 x 1024	        8.023988	  0.127799	 62.786006	0.000000e+00
