Test matrix size	Serial Time	 GPU Time	GPU Speedup	Error
2000 x 1024	        0.017957	  0.015578	  1.152700	0.000000e+00
4000 x 1024	        0.049392	  0.032653	  1.512625	0.000000e+00
8000 x 1024	        0.104796	  0.034000	  3.082207	0.000000e+00
16000 x 1024	        0.215290	  0.034764	  6.192957	0.000000e+00
32000 x 1024	        0.438868	  0.036068	 12.167936	0.000000e+00
64000 x 1024	        0.905305	  0.050596	 17.892810	0.000000e+00
128000 x 1024	        1.947975	  0.070602	 27.590999	0.000000e+00
256000 x 1024	        3.995291	  0.134442	 29.717491	0.000000e+00
512000 x 1024	        8.131610	  0.240776	 33.772562	0.000000e+00
1024000 x 1024	       16.343361	  0.455975	 35.842639	0.000000e+00
