Test matrix size	Serial Time	 GPU Time	GPU Speedup	Error
2000 x 1024	        0.062981	  0.022992	  2.739321	0.000000e+00
4000 x 1024	        0.180940	  0.035902	  5.039866	0.000000e+00
8000 x 1024	        0.418337	  0.040976	 10.209319	0.000000e+00
16000 x 1024	        0.909556	  0.058900	 15.442302	0.000000e+00
32000 x 1024	        1.962640	  0.056120	 34.971905	0.000000e+00
64000 x 1024	        4.085700	  0.095234	 42.901573	0.000000e+00
128000 x 1024	        8.267159	  0.216930	 38.109886	0.000000e+00
256000 x 1024	       16.593914	  0.491995	 33.727802	0.000000e+00
512000 x 1024	       33.138472	  1.010830	 32.783414	0.000000e+00
1024000 x 1024	       66.422534	  1.983115	 33.494041	0.000000e+00
